index,product,category,price,quantity,brand,sales volume,normalized_demand,demand_category,inventory_strategy
199,Surf Excel Household Essentials Product 199,Household Essentials,49.31,292,Surf Excel,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
200,Harvest Gold Bakery Product 200,Bakery,498.66,55,Harvest Gold,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
201,Fresh Pick Fruits & Vegetables Product 201,Fruits & Vegetables,459.52,384,Fresh Pick,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
202,McCain Frozen Foods Product 202,Frozen Foods,250.47,484,McCain,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
203,Dettol Household Essentials Product 203,Household Essentials,290.09,484,Dettol,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
204,Local Farm Fruits & Vegetables Product 204,Fruits & Vegetables,101.65,167,Local Farm,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
205,Amul Dairy Product 205,Dairy,370.76,189,Amul,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
206,Kurkure Snacks Product 206,Snacks,151.43,342,Kurkure,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
207,Colgate Household Essentials Product 207,Household Essentials,167.11,308,Colgate,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
208,ITC Frozen Foods Product 208,Frozen Foods,232.59,310,ITC,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
209,Haldiram Snacks Product 209,Snacks,108.85,217,Haldiram,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
210,Local Farm Fruits & Vegetables Product 210,Fruits & Vegetables,78.02,378,Local Farm,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
211,Red Bull Beverages Product 211,Beverages,241.85,87,Red Bull,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
212,Sumeru Frozen Foods Product 212,Frozen Foods,465.47,367,Sumeru,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
213,Kurkure Snacks Product 213,Snacks,467.14,186,Kurkure,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
214,Local Farm Fruits & Vegetables Product 214,Fruits & Vegetables,42.58,345,Local Farm,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
215,Fresh Pick Fruits & Vegetables Product 215,Fruits & Vegetables,392.94,316,Fresh Pick,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
216,Harvest Gold Bakery Product 216,Bakery,401.77,340,Harvest Gold,25,0.45454545454545453,High Demand,"Central warehouse, closest to delivery hubs"
217,Britannia Bakery Product 217,Bakery,125.49,127,Britannia,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
218,McCain Frozen Foods Product 218,Frozen Foods,439.83,138,McCain,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
219,Colgate Household Essentials Product 219,Household Essentials,194.7,228,Colgate,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
220,Red Bull Beverages Product 220,Beverages,224.98,202,Red Bull,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
221,Red Bull Beverages Product 221,Beverages,198.11,358,Red Bull,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
222,Nestle Dairy Product 222,Dairy,67.28,183,Nestle,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
223,Dettol Household Essentials Product 223,Household Essentials,174.1,497,Dettol,19,0.3181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
224,Surf Excel Household Essentials Product 224,Household Essentials,252.76,280,Surf Excel,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
225,Local Farm Fruits & Vegetables Product 225,Fruits & Vegetables,84.32,146,Local Farm,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
226,Nestle Dairy Product 226,Dairy,80.13,245,Nestle,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
227,Kurkure Snacks Product 227,Snacks,252.05,379,Kurkure,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
228,ITC Frozen Foods Product 228,Frozen Foods,272.88,352,ITC,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
229,Harvest Gold Bakery Product 229,Bakery,305.94,64,Harvest Gold,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
230,Britannia Bakery Product 230,Bakery,122.33,381,Britannia,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
231,Bingo Snacks Product 231,Snacks,324.16,292,Bingo,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
232,Fresh Pick Fruits & Vegetables Product 232,Fruits & Vegetables,133.38,118,Fresh Pick,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
233,Mother Dairy Dairy Product 233,Dairy,455.14,87,Mother Dairy,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
234,Dettol Household Essentials Product 234,Household Essentials,151.09,412,Dettol,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
235,Lays Snacks Product 235,Snacks,78.17,259,Lays,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
236,Red Bull Beverages Product 236,Beverages,365.79,220,Red Bull,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
237,Fresh Pick Fruits & Vegetables Product 237,Fruits & Vegetables,460.19,182,Fresh Pick,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
238,Harpic Household Essentials Product 238,Household Essentials,387.91,336,Harpic,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
239,Sumeru Frozen Foods Product 239,Frozen Foods,370.86,345,Sumeru,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
240,Sumeru Frozen Foods Product 240,Frozen Foods,230.91,351,Sumeru,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
241,Harvest Gold Bakery Product 241,Bakery,421.06,231,Harvest Gold,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
242,Coca-Cola Beverages Product 242,Beverages,436.25,104,Coca-Cola,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
243,Surf Excel Household Essentials Product 243,Household Essentials,195.86,358,Surf Excel,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
244,Haldiram Snacks Product 244,Snacks,396.02,203,Haldiram,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
245,Nestle Dairy Product 245,Dairy,213.11,139,Nestle,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
246,ITC Frozen Foods Product 246,Frozen Foods,238.19,467,ITC,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
247,Tropicana Beverages Product 247,Beverages,120.06,413,Tropicana,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
248,Red Bull Beverages Product 248,Beverages,91.1,393,Red Bull,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
249,Coca-Cola Beverages Product 249,Beverages,294.49,199,Coca-Cola,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
250,Fresh Pick Fruits & Vegetables Product 250,Fruits & Vegetables,335.13,386,Fresh Pick,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
251,Coca-Cola Beverages Product 251,Beverages,283.08,391,Coca-Cola,32,0.6136363636363636,High Demand,"Central warehouse, closest to delivery hubs"
252,Surf Excel Household Essentials Product 252,Household Essentials,100.39,376,Surf Excel,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
253,Harvest Gold Bakery Product 253,Bakery,377.48,428,Harvest Gold,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
254,ITC Frozen Foods Product 254,Frozen Foods,103.44,478,ITC,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
255,Sumeru Frozen Foods Product 255,Frozen Foods,42.2,127,Sumeru,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
256,McCain Frozen Foods Product 256,Frozen Foods,206.37,215,McCain,8,0.06818181818181818,Low Demand,"Stored in secondary locations, replenished as needed"
257,Tropicana Beverages Product 257,Beverages,432.27,408,Tropicana,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
258,Kurkure Snacks Product 258,Snacks,449.74,211,Kurkure,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
259,Dettol Household Essentials Product 259,Household Essentials,86.51,227,Dettol,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
260,Harvest Gold Bakery Product 260,Bakery,23.28,296,Harvest Gold,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
261,Dettol Household Essentials Product 261,Household Essentials,257.7,377,Dettol,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
262,Nestle Dairy Product 262,Dairy,329.85,313,Nestle,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
263,Mother Dairy Dairy Product 263,Dairy,305.57,351,Mother Dairy,47,0.9545454545454546,Medium Demand,"Regional warehouses, moderate priority"
264,Fresh Pick Fruits & Vegetables Product 264,Fruits & Vegetables,337.36,447,Fresh Pick,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
265,Colgate Household Essentials Product 265,Household Essentials,52.59,379,Colgate,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
266,Red Bull Beverages Product 266,Beverages,425.58,161,Red Bull,23,0.4090909090909091,High Demand,"Central warehouse, closest to delivery hubs"
267,Local Farm Fruits & Vegetables Product 267,Fruits & Vegetables,216.5,51,Local Farm,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
268,Surf Excel Household Essentials Product 268,Household Essentials,177.49,283,Surf Excel,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
269,Nestle Dairy Product 269,Dairy,26.77,69,Nestle,9,0.09090909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
270,Harvest Gold Bakery Product 270,Bakery,389.18,442,Harvest Gold,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
271,Harvest Gold Bakery Product 271,Bakery,117.56,391,Harvest Gold,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
272,Pepsi Beverages Product 272,Beverages,287.23,108,Pepsi,27,0.5,High Demand,"Central warehouse, closest to delivery hubs"
273,Pepsi Beverages Product 273,Beverages,21.01,63,Pepsi,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
274,Lays Snacks Product 274,Snacks,207.25,250,Lays,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
275,Mother Dairy Dairy Product 275,Dairy,492.36,491,Mother Dairy,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
276,Harvest Gold Bakery Product 276,Bakery,143.43,124,Harvest Gold,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
277,Haldiram Snacks Product 277,Snacks,67.7,405,Haldiram,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
278,ITC Frozen Foods Product 278,Frozen Foods,281.55,202,ITC,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
279,Haldiram Snacks Product 279,Snacks,111.15,411,Haldiram,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
280,Britannia Bakery Product 280,Bakery,451.01,183,Britannia,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
281,Haldiram Snacks Product 281,Snacks,320.22,358,Haldiram,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
282,Lays Snacks Product 282,Snacks,420.67,239,Lays,6,0.022727272727272728,Low Demand,"Stored in secondary locations, replenished as needed"
283,Fresh Pick Fruits & Vegetables Product 283,Fruits & Vegetables,371.64,356,Fresh Pick,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
284,Mother Dairy Dairy Product 284,Dairy,43.44,316,Mother Dairy,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
285,Amul Dairy Product 285,Dairy,363.55,281,Amul,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
286,ITC Frozen Foods Product 286,Frozen Foods,204.36,201,ITC,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
287,Harvest Gold Bakery Product 287,Bakery,115.32,85,Harvest Gold,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
288,Nestle Dairy Product 288,Dairy,422.35,386,Nestle,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
289,Mother Dairy Dairy Product 289,Dairy,315.43,499,Mother Dairy,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
290,Tropicana Beverages Product 290,Beverages,366.81,266,Tropicana,47,0.9545454545454546,Medium Demand,"Regional warehouses, moderate priority"
291,Lays Snacks Product 291,Snacks,130.74,180,Lays,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
292,Fresh Pick Fruits & Vegetables Product 292,Fruits & Vegetables,484.17,151,Fresh Pick,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
293,Local Farm Fruits & Vegetables Product 293,Fruits & Vegetables,164.15,492,Local Farm,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
294,Lays Snacks Product 294,Snacks,228.54,352,Lays,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
295,Sumeru Frozen Foods Product 295,Frozen Foods,368.79,198,Sumeru,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
296,Surf Excel Household Essentials Product 296,Household Essentials,349.22,247,Surf Excel,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
297,Pepsi Beverages Product 297,Beverages,249.82,192,Pepsi,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
298,Coca-Cola Beverages Product 298,Beverages,338.26,337,Coca-Cola,14,0.20454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
299,Surf Excel Household Essentials Product 299,Household Essentials,98.48,135,Surf Excel,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
300,Sumeru Frozen Foods Product 300,Frozen Foods,351.74,186,Sumeru,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
301,Bingo Snacks Product 301,Snacks,472.69,131,Bingo,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
302,Sumeru Frozen Foods Product 302,Frozen Foods,233.02,492,Sumeru,46,0.9318181818181818,Medium Demand,"Regional warehouses, moderate priority"
303,Surf Excel Household Essentials Product 303,Household Essentials,328.58,201,Surf Excel,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
304,Fresh Pick Fruits & Vegetables Product 304,Fruits & Vegetables,245.72,180,Fresh Pick,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
305,Mother Dairy Dairy Product 305,Dairy,365.14,413,Mother Dairy,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
306,Colgate Household Essentials Product 306,Household Essentials,274.35,398,Colgate,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
307,Coca-Cola Beverages Product 307,Beverages,316.69,65,Coca-Cola,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
308,Haldiram Snacks Product 308,Snacks,124.15,360,Haldiram,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
309,Kurkure Snacks Product 309,Snacks,20.42,296,Kurkure,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
310,Harvest Gold Bakery Product 310,Bakery,470.14,276,Harvest Gold,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
311,McCain Frozen Foods Product 311,Frozen Foods,385.92,367,McCain,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
312,Tropicana Beverages Product 312,Beverages,438.1,288,Tropicana,14,0.20454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
313,McCain Frozen Foods Product 313,Frozen Foods,174.82,389,McCain,9,0.09090909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
314,Pepsi Beverages Product 314,Beverages,11.64,478,Pepsi,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
315,ITC Frozen Foods Product 315,Frozen Foods,155.19,495,ITC,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
316,Tropicana Beverages Product 316,Beverages,18.76,122,Tropicana,19,0.3181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
317,Coca-Cola Beverages Product 317,Beverages,343.03,189,Coca-Cola,41,0.8181818181818182,Medium Demand,"Regional warehouses, moderate priority"
318,Britannia Bakery Product 318,Bakery,53.81,247,Britannia,43,0.8636363636363636,Medium Demand,"Regional warehouses, moderate priority"
319,Harpic Household Essentials Product 319,Household Essentials,304.39,111,Harpic,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
320,Lays Snacks Product 320,Snacks,374.24,309,Lays,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
321,Local Farm Fruits & Vegetables Product 321,Fruits & Vegetables,328.33,422,Local Farm,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
322,ITC Frozen Foods Product 322,Frozen Foods,33.0,362,ITC,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
323,Coca-Cola Beverages Product 323,Beverages,479.06,425,Coca-Cola,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
324,Britannia Bakery Product 324,Bakery,318.59,264,Britannia,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
325,Mother Dairy Dairy Product 325,Dairy,267.27,428,Mother Dairy,46,0.9318181818181818,Medium Demand,"Regional warehouses, moderate priority"
326,Mother Dairy Dairy Product 326,Dairy,250.68,194,Mother Dairy,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
327,Nestle Dairy Product 327,Dairy,119.98,169,Nestle,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
328,Tropicana Beverages Product 328,Beverages,294.24,147,Tropicana,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
329,Tropicana Beverages Product 329,Beverages,140.14,78,Tropicana,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
330,Amul Dairy Product 330,Dairy,427.57,219,Amul,13,0.18181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
331,Colgate Household Essentials Product 331,Household Essentials,466.48,444,Colgate,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
332,Local Farm Fruits & Vegetables Product 332,Fruits & Vegetables,12.49,300,Local Farm,9,0.09090909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
333,Kurkure Snacks Product 333,Snacks,49.71,365,Kurkure,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
334,Local Farm Fruits & Vegetables Product 334,Fruits & Vegetables,495.82,163,Local Farm,44,0.8863636363636364,Medium Demand,"Regional warehouses, moderate priority"
335,Harvest Gold Bakery Product 335,Bakery,262.88,164,Harvest Gold,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
336,Haldiram Snacks Product 336,Snacks,287.21,286,Haldiram,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
337,Sumeru Frozen Foods Product 337,Frozen Foods,435.4,141,Sumeru,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
338,Nestle Dairy Product 338,Dairy,88.6,318,Nestle,47,0.9545454545454546,Medium Demand,"Regional warehouses, moderate priority"
339,Britannia Bakery Product 339,Bakery,465.74,405,Britannia,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
340,Sumeru Frozen Foods Product 340,Frozen Foods,442.0,94,Sumeru,35,0.6818181818181818,Medium Demand,"Regional warehouses, moderate priority"
341,Harpic Household Essentials Product 341,Household Essentials,73.15,412,Harpic,34,0.6590909090909091,High Demand,"Central warehouse, closest to delivery hubs"
342,Dettol Household Essentials Product 342,Household Essentials,10.55,307,Dettol,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
343,Britannia Bakery Product 343,Bakery,136.76,499,Britannia,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
344,Harvest Gold Bakery Product 344,Bakery,169.95,282,Harvest Gold,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
345,Harpic Household Essentials Product 345,Household Essentials,320.66,393,Harpic,49,1.0,Medium Demand,"Regional warehouses, moderate priority"
346,Mother Dairy Dairy Product 346,Dairy,148.84,123,Mother Dairy,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
347,Bingo Snacks Product 347,Snacks,202.15,384,Bingo,34,0.6590909090909091,High Demand,"Central warehouse, closest to delivery hubs"
348,Britannia Bakery Product 348,Bakery,396.52,453,Britannia,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
349,Fresh Pick Fruits & Vegetables Product 349,Fruits & Vegetables,474.18,241,Fresh Pick,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
350,Fresh Pick Fruits & Vegetables Product 350,Fruits & Vegetables,357.2,423,Fresh Pick,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
351,ITC Frozen Foods Product 351,Frozen Foods,46.6,259,ITC,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
352,Surf Excel Household Essentials Product 352,Household Essentials,228.52,300,Surf Excel,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
353,Local Farm Fruits & Vegetables Product 353,Fruits & Vegetables,197.97,78,Local Farm,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
354,Pepsi Beverages Product 354,Beverages,192.2,465,Pepsi,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
355,Bingo Snacks Product 355,Snacks,228.49,479,Bingo,38,0.75,Medium Demand,"Regional warehouses, moderate priority"
356,Harvest Gold Bakery Product 356,Bakery,218.83,446,Harvest Gold,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
357,Dettol Household Essentials Product 357,Household Essentials,399.46,206,Dettol,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
358,Fresh Pick Fruits & Vegetables Product 358,Fruits & Vegetables,50.37,133,Fresh Pick,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
359,Nestle Dairy Product 359,Dairy,435.35,431,Nestle,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
360,Local Farm Fruits & Vegetables Product 360,Fruits & Vegetables,472.37,406,Local Farm,24,0.4318181818181818,High Demand,"Central warehouse, closest to delivery hubs"
361,Sumeru Frozen Foods Product 361,Frozen Foods,144.37,436,Sumeru,5,0.0,Low Demand,"Stored in secondary locations, replenished as needed"
362,Haldiram Snacks Product 362,Snacks,364.97,211,Haldiram,39,0.7727272727272727,Medium Demand,"Regional warehouses, moderate priority"
363,Coca-Cola Beverages Product 363,Beverages,360.31,323,Coca-Cola,19,0.3181818181818182,Low Demand,"Stored in secondary locations, replenished as needed"
364,Fresh Pick Fruits & Vegetables Product 364,Fruits & Vegetables,276.18,109,Fresh Pick,29,0.5454545454545454,High Demand,"Central warehouse, closest to delivery hubs"
365,Coca-Cola Beverages Product 365,Beverages,390.53,128,Coca-Cola,31,0.5909090909090909,High Demand,"Central warehouse, closest to delivery hubs"
366,ITC Frozen Foods Product 366,Frozen Foods,382.9,436,ITC,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
367,Local Farm Fruits & Vegetables Product 367,Fruits & Vegetables,456.8,427,Local Farm,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
368,Fresh Pick Fruits & Vegetables Product 368,Fruits & Vegetables,236.43,271,Fresh Pick,18,0.29545454545454547,Low Demand,"Stored in secondary locations, replenished as needed"
369,Surf Excel Household Essentials Product 369,Household Essentials,307.58,389,Surf Excel,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
370,Pepsi Beverages Product 370,Beverages,120.51,493,Pepsi,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
371,McCain Frozen Foods Product 371,Frozen Foods,141.81,393,McCain,12,0.1590909090909091,Low Demand,"Stored in secondary locations, replenished as needed"
372,Amul Dairy Product 372,Dairy,83.29,326,Amul,22,0.38636363636363635,High Demand,"Central warehouse, closest to delivery hubs"
373,ITC Frozen Foods Product 373,Frozen Foods,245.17,144,ITC,42,0.8409090909090909,Medium Demand,"Regional warehouses, moderate priority"
374,Amul Dairy Product 374,Dairy,380.96,151,Amul,45,0.9090909090909091,Medium Demand,"Regional warehouses, moderate priority"
375,Mother Dairy Dairy Product 375,Dairy,377.09,90,Mother Dairy,21,0.36363636363636365,High Demand,"Central warehouse, closest to delivery hubs"
376,Local Farm Fruits & Vegetables Product 376,Fruits & Vegetables,289.74,129,Local Farm,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
377,Fresh Pick Fruits & Vegetables Product 377,Fruits & Vegetables,179.55,473,Fresh Pick,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
378,Haldiram Snacks Product 378,Snacks,45.48,274,Haldiram,37,0.7272727272727273,Medium Demand,"Regional warehouses, moderate priority"
379,Coca-Cola Beverages Product 379,Beverages,50.43,126,Coca-Cola,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
380,Sumeru Frozen Foods Product 380,Frozen Foods,75.03,408,Sumeru,30,0.5681818181818182,High Demand,"Central warehouse, closest to delivery hubs"
381,ITC Frozen Foods Product 381,Frozen Foods,402.29,155,ITC,48,0.9772727272727273,Medium Demand,"Regional warehouses, moderate priority"
382,Tropicana Beverages Product 382,Beverages,321.85,172,Tropicana,10,0.11363636363636363,Low Demand,"Stored in secondary locations, replenished as needed"
383,Pepsi Beverages Product 383,Beverages,312.14,272,Pepsi,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
384,Pepsi Beverages Product 384,Beverages,468.25,377,Pepsi,32,0.6136363636363636,High Demand,"Central warehouse, closest to delivery hubs"
385,ITC Frozen Foods Product 385,Frozen Foods,310.01,432,ITC,11,0.13636363636363635,Low Demand,"Stored in secondary locations, replenished as needed"
386,Mother Dairy Dairy Product 386,Dairy,410.48,459,Mother Dairy,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
387,Surf Excel Household Essentials Product 387,Household Essentials,90.36,63,Surf Excel,15,0.22727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
388,Kurkure Snacks Product 388,Snacks,300.71,61,Kurkure,17,0.2727272727272727,Low Demand,"Stored in secondary locations, replenished as needed"
389,Coca-Cola Beverages Product 389,Beverages,311.71,196,Coca-Cola,40,0.7954545454545454,Medium Demand,"Regional warehouses, moderate priority"
390,Harvest Gold Bakery Product 390,Bakery,437.2,358,Harvest Gold,36,0.7045454545454546,Medium Demand,"Regional warehouses, moderate priority"
391,Mother Dairy Dairy Product 391,Dairy,20.22,260,Mother Dairy,26,0.4772727272727273,High Demand,"Central warehouse, closest to delivery hubs"
392,Harvest Gold Bakery Product 392,Bakery,275.81,108,Harvest Gold,7,0.045454545454545456,Low Demand,"Stored in secondary locations, replenished as needed"
393,Fresh Pick Fruits & Vegetables Product 393,Fruits & Vegetables,207.6,494,Fresh Pick,33,0.6363636363636364,High Demand,"Central warehouse, closest to delivery hubs"
394,Sumeru Frozen Foods Product 394,Frozen Foods,109.75,440,Sumeru,16,0.25,Low Demand,"Stored in secondary locations, replenished as needed"
395,Pepsi Beverages Product 395,Beverages,480.78,491,Pepsi,28,0.5227272727272727,High Demand,"Central warehouse, closest to delivery hubs"
