index,product,category,price,quantity,brand,Sales Volume
367,Local Farm Fruits & Vegetables Product 367,Fruits & Vegetables,456.8,427,Local Farm,7
368,Fresh Pick Fruits & Vegetables Product 368,Fruits & Vegetables,236.43,271,Fresh Pick,18
369,Surf Excel Household Essentials Product 369,Household Essentials,307.58,389,Surf Excel,40
370,Pepsi Beverages Product 370,Beverages,120.51,493,Pepsi,26
371,McCain Frozen Foods Product 371,Frozen Foods,141.81,393,McCain,12
372,Amul Dairy Product 372,Dairy,83.29,326,Amul,22
373,ITC Frozen Foods Product 373,Frozen Foods,245.17,144,ITC,42
374,Amul Dairy Product 374,Dairy,380.96,151,Amul,45
375,Mother Dairy Dairy Product 375,Dairy,377.09,90,Mother Dairy,21
376,Local Farm Fruits & Vegetables Product 376,Fruits & Vegetables,289.74,129,Local Farm,26
377,Fresh Pick Fruits & Vegetables Product 377,Fruits & Vegetables,179.55,473,Fresh Pick,36
378,Haldiram Snacks Product 378,Snacks,45.48,274,Haldiram,37
379,Coca-Cola Beverages Product 379,Beverages,50.43,126,Coca-Cola,30
380,Sumeru Frozen Foods Product 380,Frozen Foods,75.03,408,Sumeru,30
381,ITC Frozen Foods Product 381,Frozen Foods,402.29,155,ITC,48
382,Tropicana Beverages Product 382,Beverages,321.85,172,Tropicana,10
383,Pepsi Beverages Product 383,Beverages,312.14,272,Pepsi,36
384,Pepsi Beverages Product 384,Beverages,468.25,377,Pepsi,32
385,ITC Frozen Foods Product 385,Frozen Foods,310.01,432,ITC,11
386,Mother Dairy Dairy Product 386,Dairy,410.48,459,Mother Dairy,7
387,Surf Excel Household Essentials Product 387,Household Essentials,90.36,63,Surf Excel,15
388,Kurkure Snacks Product 388,Snacks,300.71,61,Kurkure,17
389,Coca-Cola Beverages Product 389,Beverages,311.71,196,Coca-Cola,40
390,Harvest Gold Bakery Product 390,Bakery,437.2,358,Harvest Gold,36
391,Mother Dairy Dairy Product 391,Dairy,20.22,260,Mother Dairy,26
392,Harvest Gold Bakery Product 392,Bakery,275.81,108,Harvest Gold,7
393,Fresh Pick Fruits & Vegetables Product 393,Fruits & Vegetables,207.6,494,Fresh Pick,33
394,Sumeru Frozen Foods Product 394,Frozen Foods,109.75,440,Sumeru,16
395,Pepsi Beverages Product 395,Beverages,480.78,491,Pepsi,28
396,Local Farm Fruits & Vegetables Product 396,Fruits & Vegetables,179.51,413,Local Farm,24
397,Fresh Pick Fruits & Vegetables Product 397,Fruits & Vegetables,276.22,484,Fresh Pick,36
398,Tropicana Beverages Product 398,Beverages,24.4,403,Tropicana,40
399,Bingo Snacks Product 399,Snacks,451.34,311,Bingo,43
400,Bingo Snacks Product 400,Snacks,300.25,295,Bingo,16
401,Amul Dairy Product 401,Dairy,238.25,70,Amul,19
402,Red Bull Beverages Product 402,Beverages,390.24,149,Red Bull,34
403,Harpic Household Essentials Product 403,Household Essentials,126.4,383,Harpic,6
404,Surf Excel Household Essentials Product 404,Household Essentials,428.65,90,Surf Excel,18
405,Surf Excel Household Essentials Product 405,Household Essentials,334.68,280,Surf Excel,10
406,Red Bull Beverages Product 406,Beverages,162.95,77,Red Bull,6
407,Amul Dairy Product 407,Dairy,14.42,498,Amul,44
408,Fresh Pick Fruits & Vegetables Product 408,Fruits & Vegetables,204.36,456,Fresh Pick,35
409,Mother Dairy Dairy Product 409,Dairy,46.01,319,Mother Dairy,20
410,Lays Snacks Product 410,Snacks,175.13,399,Lays,45
411,Coca-Cola Beverages Product 411,Beverages,131.87,220,Coca-Cola,16
412,Coca-Cola Beverages Product 412,Beverages,91.85,333,Coca-Cola,47
413,Britannia Bakery Product 413,Bakery,335.26,214,Britannia,48
414,Local Farm Fruits & Vegetables Product 414,Fruits & Vegetables,435.45,157,Local Farm,24
415,Kurkure Snacks Product 415,Snacks,37.97,342,Kurkure,24
416,Lays Snacks Product 416,Snacks,323.6,84,Lays,10
417,Britannia Bakery Product 417,Bakery,53.39,210,Britannia,18
418,Fresh Pick Fruits & Vegetables Product 418,Fruits & Vegetables,204.72,291,Fresh Pick,28
419,Nestle Dairy Product 419,Dairy,18.52,266,Nestle,33
420,Red Bull Beverages Product 420,Beverages,232.82,476,Red Bull,27
421,Fresh Pick Fruits & Vegetables Product 421,Fruits & Vegetables,78.43,433,Fresh Pick,49
422,Fresh Pick Fruits & Vegetables Product 422,Fruits & Vegetables,470.51,429,Fresh Pick,12
423,Lays Snacks Product 423,Snacks,56.01,313,Lays,33
424,McCain Frozen Foods Product 424,Frozen Foods,482.04,224,McCain,38
425,Red Bull Beverages Product 425,Beverages,489.53,476,Red Bull,14
426,ITC Frozen Foods Product 426,Frozen Foods,129.63,75,ITC,12
427,Colgate Household Essentials Product 427,Household Essentials,386.57,377,Colgate,29
428,McCain Frozen Foods Product 428,Frozen Foods,304.3,336,McCain,20
429,McCain Frozen Foods Product 429,Frozen Foods,336.82,410,McCain,30
430,ITC Frozen Foods Product 430,Frozen Foods,499.71,112,ITC,13
431,Coca-Cola Beverages Product 431,Beverages,496.74,318,Coca-Cola,13
432,Britannia Bakery Product 432,Bakery,151.46,373,Britannia,38
433,Harvest Gold Bakery Product 433,Bakery,170.25,151,Harvest Gold,23
434,ITC Frozen Foods Product 434,Frozen Foods,383.52,328,ITC,23
435,Britannia Bakery Product 435,Bakery,194.08,359,Britannia,11
436,Coca-Cola Beverages Product 436,Beverages,169.05,125,Coca-Cola,11
437,Surf Excel Household Essentials Product 437,Household Essentials,196.41,142,Surf Excel,29
438,Coca-Cola Beverages Product 438,Beverages,277.39,340,Coca-Cola,48
439,ITC Frozen Foods Product 439,Frozen Foods,297.66,159,ITC,18
440,Kurkure Snacks Product 440,Snacks,237.11,52,Kurkure,25
441,Haldiram Snacks Product 441,Snacks,264.35,461,Haldiram,33
442,Lays Snacks Product 442,Snacks,196.3,353,Lays,41
443,Colgate Household Essentials Product 443,Household Essentials,243.58,92,Colgate,27
444,ITC Frozen Foods Product 444,Frozen Foods,361.88,428,ITC,47
445,Britannia Bakery Product 445,Bakery,105.93,385,Britannia,19
446,Tropicana Beverages Product 446,Beverages,464.25,320,Tropicana,8
447,Britannia Bakery Product 447,Bakery,182.3,339,Britannia,18
448,Harvest Gold Bakery Product 448,Bakery,135.82,101,Harvest Gold,31
449,Britannia Bakery Product 449,Bakery,270.81,185,Britannia,20
450,Haldiram Snacks Product 450,Snacks,361.64,51,Haldiram,17
451,Fresh Pick Fruits & Vegetables Product 451,Fruits & Vegetables,69.72,312,Fresh Pick,35
452,Fresh Pick Fruits & Vegetables Product 452,Fruits & Vegetables,401.89,208,Fresh Pick,11
453,Colgate Household Essentials Product 453,Household Essentials,398.77,494,Colgate,46
454,Fresh Pick Fruits & Vegetables Product 454,Fruits & Vegetables,246.94,312,Fresh Pick,5
455,Fresh Pick Fruits & Vegetables Product 455,Fruits & Vegetables,267.98,96,Fresh Pick,17
456,Harpic Household Essentials Product 456,Household Essentials,411.4,263,Harpic,32
457,Pepsi Beverages Product 457,Beverages,113.9,59,Pepsi,28
458,Lays Snacks Product 458,Snacks,421.53,121,Lays,28
459,Pepsi Beverages Product 459,Beverages,135.27,117,Pepsi,28
460,Nestle Dairy Product 460,Dairy,337.1,195,Nestle,23
461,Fresh Pick Fruits & Vegetables Product 461,Fruits & Vegetables,231.37,291,Fresh Pick,9
462,Surf Excel Household Essentials Product 462,Household Essentials,371.07,275,Surf Excel,37
463,Surf Excel Household Essentials Product 463,Household Essentials,56.9,481,Surf Excel,41
464,Dettol Household Essentials Product 464,Household Essentials,307.48,209,Dettol,15
465,Lays Snacks Product 465,Snacks,201.54,490,Lays,29
466,Haldiram Snacks Product 466,Snacks,76.86,134,Haldiram,22
467,Mother Dairy Dairy Product 467,Dairy,219.82,216,Mother Dairy,45
468,Red Bull Beverages Product 468,Beverages,495.72,237,Red Bull,23
469,Fresh Pick Fruits & Vegetables Product 469,Fruits & Vegetables,175.24,337,Fresh Pick,43
470,Harvest Gold Bakery Product 470,Bakery,139.8,278,Harvest Gold,37
471,Local Farm Fruits & Vegetables Product 471,Fruits & Vegetables,206.58,402,Local Farm,10
472,Red Bull Beverages Product 472,Beverages,44.02,98,Red Bull,6
473,Local Farm Fruits & Vegetables Product 473,Fruits & Vegetables,44.27,209,Local Farm,25
474,ITC Frozen Foods Product 474,Frozen Foods,343.26,349,ITC,7
475,ITC Frozen Foods Product 475,Frozen Foods,35.65,221,ITC,6
476,McCain Frozen Foods Product 476,Frozen Foods,497.79,335,McCain,12
477,ITC Frozen Foods Product 477,Frozen Foods,479.24,382,ITC,33
478,Dettol Household Essentials Product 478,Household Essentials,108.46,257,Dettol,46
479,ITC Frozen Foods Product 479,Frozen Foods,230.68,449,ITC,16
480,Tropicana Beverages Product 480,Beverages,335.81,52,Tropicana,20
481,McCain Frozen Foods Product 481,Frozen Foods,68.72,164,McCain,44
482,McCain Frozen Foods Product 482,Frozen Foods,371.22,297,McCain,48
483,Coca-Cola Beverages Product 483,Beverages,339.06,133,Coca-Cola,10
484,ITC Frozen Foods Product 484,Frozen Foods,396.07,337,ITC,37
485,Harvest Gold Bakery Product 485,Bakery,258.35,275,Harvest Gold,18
486,Local Farm Fruits & Vegetables Product 486,Fruits & Vegetables,121.41,286,Local Farm,6
487,Coca-Cola Beverages Product 487,Beverages,179.7,298,Coca-Cola,13
488,Red Bull Beverages Product 488,Beverages,414.39,239,Red Bull,27
489,Haldiram Snacks Product 489,Snacks,437.93,311,Haldiram,39
490,Sumeru Frozen Foods Product 490,Frozen Foods,291.55,365,Sumeru,41
491,Fresh Pick Fruits & Vegetables Product 491,Fruits & Vegetables,255.56,98,Fresh Pick,46
492,ITC Frozen Foods Product 492,Frozen Foods,317.7,207,ITC,28
493,Kurkure Snacks Product 493,Snacks,363.5,116,Kurkure,20
494,Colgate Household Essentials Product 494,Household Essentials,411.18,448,Colgate,25
495,Mother Dairy Dairy Product 495,Dairy,85.36,468,Mother Dairy,22
496,ITC Frozen Foods Product 496,Frozen Foods,324.08,74,ITC,6
497,Coca-Cola Beverages Product 497,Beverages,432.39,213,Coca-Cola,35
498,McCain Frozen Foods Product 498,Frozen Foods,307.06,359,McCain,7
499,Amul Dairy Product 499,Dairy,414.35,190,Amul,38
500,Harvest Gold Bakery Product 500,Bakery,257.99,128,Harvest Gold,8
